codgeo,libgeo,code_epci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
69040,Champagne-au-Mont-d'Or,200046977,0,47,40,4778,100.0,100.0
69042,La Chapelle-sur-Coise,200066587,0,4,53,539,,
69043,Chaponost,246900757,1,45,233,8670,97.21,97.78
69044,Charbonnières-les-Bains,200046977,3,29,69,4514,100.0,100.0
69045,Charentay,200067817,0,6,96,1176,14.15,0.0
69046,Charly,200046977,0,20,72,3500,100.0,100.0
69047,Charnay,200040574,0,13,62,904,90.92,92.31
69049,Chasselay,200040574,0,15,96,2620,11.85,0.0
69050,Châtillon,200040574,1,18,91,2072,100.0,100.0
69051,Chaussan,246900740,0,7,63,1115,,
69052,Chazay-d'Azergues,200040574,0,23,74,4234,100.0,100.0
69053,Chénas,200067817,0,4,44,378,0.0,0.0
69054,Chénelette,200040566,0,2,56,354,0.0,0.0
69055,Les Chères,200040574,0,10,40,1423,99.3,80.0
69056,Chessy,200040574,1,13,52,1669,100.0,100.0
69057,Chevinay,246900625,0,4,48,498,2.41,25.0
69058,Chiroubles,200067817,0,5,49,352,0.0,0.0
69059,Civrieux-d'Azergues,200040574,1,22,38,1530,100.0,100.0
69060,Claveisolles,200040566,0,9,93,526,6.84,0.0
69061,Cogny,200040590,0,7,60,958,0.0,0.0
69062,Coise,200066587,0,5,79,690,,
69063,Collonges-au-Mont-d'Or,200046977,1,21,61,3382,100.0,100.0
69064,Condrieu,200077014,0,34,87,3599,0.0,0.0
69065,Corcelles-en-Beaujolais,200067817,0,10,70,888,0.0,0.0
69066,Cours,200040566,0,39,256,4031,0.0,0.0
69067,Courzieu,246900625,0,6,113,1085,0.0,0.0
69068,Couzon-au-Mont-d'Or,200046977,1,20,32,2052,100.0,100.0
69069,Craponne,200046977,0,70,87,11129,36.65,38.57
69070,Cublize,200040566,0,11,94,1244,0.0,0.0
69071,Curis-au-Mont-d'Or,200046977,0,5,25,886,100.0,100.0
69072,Dardilly,200046977,2,60,180,8630,100.0,100.0
69074,Denicé,200040590,0,8,102,1304,0.0,0.0
69075,Dième,200040566,0,1,27,185,0.0,0.0
69076,Dommartin,246900625,1,13,92,2276,100.0,100.0
69077,Dracé,200067817,0,3,62,1116,0.0,0.0
69078,Duerne,200066587,0,8,73,756,,
69080,Échalas,200077014,0,9,103,1862,0.0,0.0
69081,Écully,200046977,0,92,149,13089,100.0,100.0
69082,Émeringes,200067817,0,4,21,214,0.0,0.0
69083,Éveux,246900625,0,6,32,1064,100.0,100.0
69084,Fleurie,200067817,0,14,124,1177,0.0,0.0
69085,Fleurieu-sur-Saône,200046977,0,10,23,1036,100.0,100.0
69086,Fleurieux-sur-l'Arbresle,246900625,1,13,103,2373,100.0,100.0
69087,Fontaines-Saint-Martin,200046977,0,14,39,2055,100.0,100.0
69088,Fontaines-sur-Saône,200046977,0,43,30,4030,100.0,100.0
69089,Francheville,200046977,1,65,140,13106,99.98,100.0
69090,Frontenas,200040574,0,2,26,567,0.0,0.0
69091,Givors,200046977,2,147,216,18384,98.91,99.32
69092,Gleizé,200040590,0,45,141,5142,88.74,93.33
69093,Grandris,200040566,0,10,72,986,61.59,100.0
69094,Grézieu-la-Varenne,246900724,0,25,107,5645,,
69095,Grézieu-le-Marché,200066587,0,8,72,709,,
69096,Grigny,200046977,1,59,80,9086,100.0,100.0
69097,Les Haies,200077014,0,4,90,714,0.0,0.0
69098,Les Halles,200066587,0,5,22,381,,
69099,Haute-Rivoire,200066587,0,11,169,1298,,
69100,Irigny,200046977,1,43,116,8469,99.79,100.0
69102,Joux,200040566,0,5,79,685,0.73,0.0
69103,Juliénas,200067817,0,7,66,648,0.0,0.0
69104,Jullié,200067817,0,5,41,398,0.0,0.0
69105,Lacenas,200040590,0,6,36,928,0.0,0.0
69106,Lachassagne,200040574,0,2,32,1014,46.7,100.0
69107,Lamure-sur-Azergues,200040566,1,24,78,864,97.1,91.67
69108,Lancié,200067817,0,8,37,1051,0.0,0.0
69109,Lantignié,200067817,0,5,73,677,0.0,0.0
69110,Larajasse,200066587,0,16,203,1620,,
69111,Légny,200040574,1,10,36,611,100.0,100.0
69112,Lentilly,246900625,2,33,226,6534,100.0,100.0
69113,Létra,200040574,0,6,74,788,76.89,100.0
69115,Limas,200040590,0,40,63,3524,100.0,100.0
69116,Limonest,200046977,0,37,116,3366,91.49,91.89
69117,Lissieu,200046977,0,21,79,2624,0.0,0.0
69118,Loire-sur-Rhône,200077014,0,18,76,2510,70.19,83.33
69119,Longes,200077014,0,5,74,854,0.0,0.0
69120,Longessaigne,200066587,0,5,81,522,,
