code_epci,pv_mwh,pv_sites,pv_kwh_par_hab
247200405,2333.5,146,
200035129,6557.7,424,341.6
246300925,3429.3,75,
241200856,2646.7,57,
200034130,229.7,57,10.3
246300834,879.1,123,
243300316,53889.8,2851,64.8
247700404,0.0,0,
243300563,1272.0,9,18.4
200035590,642.2,190,
200034692,15907.6,884,210.8
241200609,5709.3,87,
248100638,1115.7,48,
200041614,9601.3,582,292.1
247200348,1372.8,268,51.0
246301105,1173.7,111,
248100745,3996.9,76,788.8
247700701,505.0,81,17.9
247700040,198.3,41,
243301413,1765.2,110,
200034056,6418.9,314,449.1
247200512,1703.2,112,
241700624,1940.4,189,87.2
200027068,3463.3,550,
200041499,5601.0,524,176.2
200036473,4477.3,482,73.8
247700065,849.4,93,49.0
247200496,807.5,121,
243000593,12126.1,457,433.7
247700586,45.1,20,
247700107,959.8,89,21.2
248400251,107608.7,120,552.2
243000551,1550.3,126,
241700517,2098.0,264,119.5
200041762,4434.6,712,69.0
200027274,587.9,80,
243000536,204.6,2,
200034064,1913.0,56,417.6
247700594,717.1,203,6.6
247200629,5385.3,4,177.0
247200132,12139.4,686,58.2
200034411,3609.2,346,161.8
200043974,80188.5,253,2038.2
247200538,4800.7,123,
243300837,12660.4,165,
243301181,5751.1,337,273.7
200043982,1426.8,87,90.4
241400514,1109.7,120,40.5
240800821,174.2,84,6.7
248900748,378.1,113,21.6
200041564,603.5,44,
243100732,1734.1,211,75.9
240500447,135.9,1,
246301014,259.7,81,
200039725,485.7,43,
248800609,419.7,79,
242200582,1772.4,91,
246900690,1449.2,258,
200035327,550.5,34,102.2
240100826,406.3,128,
247400856,63.5,1,
244000717,3308.1,144,
241800440,149.2,25,
200035723,27389.3,193,2866.2
248900664,556.4,58,65.7
246900773,1274.9,267,
248719239,15491.0,50,
243800604,8882.1,704,80.1
240300608,1714.8,266,
243700697,1066.0,96,
240700864,573.2,5,30.1
200054807,351477.9,28990,183.9
246300941,0.0,0,
248400160,4425.0,257,220.8
241600378,2473.5,64,
200018497,0.0,0,
246401525,1345.3,94,
248600579,305.2,55,
200042182,2499.1,247,160.3
248800625,211.8,60,
242320083,10205.0,141,
244400552,26945.7,2078,390.5
248700148,469.9,51,
245701404,534.1,244,18.2
243600319,5034.9,160,286.3
246301048,444.2,72,
244000758,48575.2,83,
200040574,1405.9,409,25.5
241200054,1838.8,28,
200001170,700.6,25,
248000705,887.2,42,
248900771,392.5,27,
246200018,403.3,74,
248500506,11334.0,815,
245000542,130.4,52,
243500782,2452.2,292,28.5
246200976,190.5,40,
200026722,4015.0,78,
200000974,687.8,14,
240100842,299.4,85,
200036358,4226.0,83,
247400047,445.4,121,53.8
241800457,1511.6,86,132.9
245614367,2185.9,138,
245501309,100.8,24,
241200187,11901.7,294,212.0
243700432,709.5,131,
245100565,755.3,45,
244000808,15492.2,660,281.2
243901048,121.5,34,
242900827,527.1,70,
244500203,571.4,193,9.1
