codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
245701222,,20960,21.8,3.8,10030,37930,33.2,28699,64659,44479.5,50.3,45.3,3,2,25.8,27.2,5.9,1.7,1.3,2.9,-9.2
245701271,,22000,16.1,3.2,11710,37010,42.5,22804,50638,35120.3,61.9,56.2,3,2.7,27.3,16.9,5.3,1.7,1.1,2.5,-11.4
245701354,,26780,9.3,3.3,14290,46930,46.3,14032,34485,23045.7,53.8,48.8,2.2,2.8,21.2,32.8,2.4,1.1,0.4,0.9,-10.2
245701362,,25330,16.6,4.7,11080,52080,38.7,36723,77192,54553.2,47.3,41.1,2.5,3.7,21.8,37.8,3.7,1,0.9,1.8,-10.6
245701404,,24760,19,5.1,9320,47810,22.4,10918,23188,16331.2,31.4,27.7,2.2,1.5,16.8,54.9,2.9,0.6,0.7,1.6,-6
245801063,,23820,7.1,2.4,14860,36040,56.7,2179,4913,3400.7,72.1,64.7,2.1,5.3,33.2,5.5,3.7,1.6,0.5,1.6,-14.5
245804406,,21680,16.9,3,11710,35600,48.7,31906,62842,45684.1,62.3,55.7,2.1,4.5,37.9,6.7,7.5,1.9,1.5,4.1,-14.4
245804497,,20790,17.7,2.8,11690,32250,41.2,2319,4792,3425.6,63,55.1,2.4,5.5,36.1,6.3,6.7,2.1,1.2,3.4,-12.1
245900428,,20630,19.4,3.1,11280,34670,45.7,84446,186960,129656,68.3,61.6,2.9,3.8,31.7,5.8,8.2,2.5,1.8,3.9,-14
245900758,,23180,10.8,2.8,13560,37950,51.3,16272,40172,26820.1,75.9,68.1,2.4,5.4,26.7,7.5,4.9,2.2,0.8,1.9,-15
245901038,,21750,15.6,2.9,12320,35630,46.7,6020,14319,9701,73.1,64.6,2.5,6,28.2,6.8,5.8,2.2,0.9,2.7,-13.9
245901152,,20010,20.6,2.9,11250,32350,40.8,28088,68031,45596.7,70.9,64.3,3.2,3.4,28.1,4.1,9.3,3.2,1.8,4.3,-12.4
245901160,,19690,23.6,3.3,10510,34400,42.4,78934,179345,122708.2,70,62.6,2.9,4.5,27.2,6.7,9.9,2.9,2.1,4.9,-13.8
246000129,,23390,11.8,2.7,13220,35700,57.8,9192,22242,14880.9,76.9,71.4,2.9,2.6,27.1,4.6,5.8,2.6,0.9,2.3,-14.4
246000376,,24090,9.6,2.6,14030,37010,58.7,15605,36116,24619.2,76.9,71.2,2.5,3.2,27.1,6.1,5.1,2,0.9,2.2,-15.2
246000566,,22710,10.2,2.5,13790,35050,51.6,11972,28795,19362.4,76.9,69.5,2.7,4.7,25.6,5.7,5.7,2.3,0.9,2.5,-13.9
246000582,,23540,11.7,2.8,13140,36660,58.3,14586,39008,25226,81.4,75.3,3.2,2.9,23.3,4.7,5.3,2.7,0.7,1.9,-14.7
246000707,,25450,6.7,2.6,15360,40130,63,7926,20072,13274.7,70.3,63.7,2.5,4.1,23,20.5,3.2,1.7,0.4,1.1,-17
246000749,,23960,9.4,2.8,14050,39570,57.5,6450,15237,10363.1,76,68.7,2.7,4.6,29,7,4,1.8,0.6,1.6,-16
246000756,,20880,19.3,3,11300,33750,45.4,13062,30556,20743.8,68.6,61.9,3.1,3.6,30.5,6.2,8,2.8,1.5,3.7,-13.3
246000764,,30680,6.5,3.6,15950,57070,73.4,19492,44065,30453.8,82.5,73.9,2.6,6,26.6,12.5,2.1,0.9,0.4,0.8,-23.7
246000772,,23240,10.9,2.6,13530,35690,55.1,9448,21820,14938.9,72.7,68,2.6,2.1,31,5.6,5.1,2,0.9,2.2,-14.4
246000848,,21780,13.4,2.6,12800,33860,48.3,13085,30756,20862.3,71.9,62.7,2.5,6.7,28.7,6.9,5.9,2.5,0.9,2.5,-13.4
246000855,,24110,8.9,2.7,14260,39040,57.9,8899,21614,14504.8,77.5,69.8,2.7,5,27.1,7.1,4.2,2,0.6,1.6,-15.9
246000871,,25250,7.4,2.6,15050,39470,63.1,22421,56180,37267.4,83.1,76.8,2.9,3.4,22.7,6.3,4,2,0.6,1.4,-16.1
246000897,,25410,6.6,2.5,15520,38960,62.1,7167,17754,11846.8,80.4,73.2,2.5,4.7,25.3,6.7,3.6,1.8,0.5,1.3,-16
246000913,,22920,10.7,2.6,13550,34970,54.1,7364,17983,12056.8,73.7,66.6,2.8,4.3,28.8,6.7,5,2.3,0.7,2,-14.2
246000921,,24540,10.5,2.9,13660,38940,60.9,14164,34418,23088.8,78.9,72.8,2.9,3.2,26.9,5.5,4.8,2,0.8,2,-16.1
246100390,,21350,14,2.7,12700,33920,43.9,2419,5479,3781.8,68.6,56.4,2.9,9.3,31.5,8.2,4.7,2.1,0.7,1.9,-13
246100663,,21940,16.6,3.1,11520,35680,48.7,24575,51599,36506.2,61.7,55.1,2.1,4.5,34.8,11.4,6.3,2,1.3,3,-14.2
246200299,,19420,22.1,2.8,11040,31150,39.4,51104,122103,82018.6,71.1,64.8,3.3,3,27.2,3.5,10.2,3.5,2,4.7,-12
246200364,,19010,23.8,2.9,10750,31300,38.1,96541,224486,152281.9,69.2,62.7,3.1,3.4,28.4,4,10.6,3.3,2.2,5.1,-12.2
246200380,,21790,14.6,2.9,12480,36760,46.6,9003,22043,14794.5,74.3,64.7,2.5,7.1,26.7,8.2,5.5,2.3,0.9,2.3,-14.7
246200729,,20230,20.1,3.1,11310,35230,43.2,49417,107101,74928.1,66,58.2,2.9,4.9,31.9,8.5,8.3,2.4,1.9,4,-14.7
246200844,,22600,12.3,2.8,13120,36170,51,11114,28267,18640.1,77.7,70.5,2.4,4.8,25.3,6.1,5.3,2.5,0.9,1.9,-14.4
246201016,,21770,13,2.6,12970,33690,45.8,9489,24137,15940.4,76,68.9,2.2,4.9,25.2,6.1,5.9,2.7,0.9,2.3,-13.2
246300701,,23020,16.6,3.6,11470,40930,53.9,133388,265856,191795.4,71.5,64.1,2.5,4.9,30.7,8.9,5.8,1.7,1.4,2.7,-16.9
246300966,,21560,16.4,3,11750,35520,46.7,4624,9003,6595.6,64,46.7,3.4,13.9,34.4,12.2,3.9,1.3,0.7,1.9,-14.5
246301097,,23470,9.1,2.6,14180,36470,51.7,8063,18746,12765.7,75.9,69.1,2.6,4.2,26.7,7.4,4.3,1.9,0.6,1.8,-14.3
246400337,,21740,13.4,2.7,12950,35030,46.5,4526,9558,6794.7,61,51.6,2.9,6.5,39.2,8.6,4.5,1.5,0.8,2.2,-13.3
246401756,,23630,9,2.6,14240,37350,53.9,12133,28802,19573.9,70.9,63.2,2.4,5.3,30.7,8.7,4.5,1.7,0.7,2.1,-14.8
246500482,,21600,15.2,2.9,12060,35090,46.9,8081,15726,11542.3,58.7,49.5,3,6.2,42.3,7.2,5.3,1.3,1.1,2.9,-13.5
246500573,,21080,16.2,3.1,11790,37040,47.7,2995,5718,4221.8,61.6,48.5,4.5,8.6,38.3,10.4,3.8,1.2,0.8,1.8,-14.1
