CODGEO,revenu_median_2019
02096,21650.0
02097,18570.0
02098,25560.0
02099,23170.0
02100,19050.0
02101,20740.0
02102,21780.0
02103,19130.0
02104,24920.0
02105,22380.0
02106,18750.0
02108,23590.0
02109,20430.0
02110,19260.0
02111,21340.0
02112,21190.0
02114,22070.0
02115,19830.0
02116,20570.0
02118,23180.0
02119,20490.0
02120,21900.0
02121,20190.0
02123,21880.0
02124,20810.0
02125,23000.0
02126,16720.0
02127,20720.0
02128,23650.0
02130,19310.0
02131,22060.0
02132,22760.0
02133,18940.0
02134,19660.0
02135,17930.0
02136,19180.0
02137,22020.0
02138,24550.0
02139,22830.0
02140,19140.0
02141,17390.0
02142,23330.0
02143,18460.0
02144,22330.0
02145,22460.0
02148,21760.0
02151,26580.0
02153,22020.0
02154,22880.0
02155,24330.0
02156,22430.0
02157,21720.0
02158,21400.0
02159,19480.0
02160,18700.0
02162,21190.0
02163,20490.0
02164,21240.0
02165,19710.0
02166,22750.0
02167,21860.0
02168,18310.0
02170,22230.0
02172,22980.0
02173,17730.0
02174,21090.0
02175,18780.0
02176,18900.0
02177,23910.0
02178,21120.0
02179,21500.0
02180,20600.0
02182,20430.0
02183,24970.0
02184,19970.0
02185,20880.0
02186,22910.0
02187,24050.0
02188,18250.0
02189,19570.0
02190,22050.0
02191,21970.0
02192,21880.0
02194,19700.0
02195,22930.0
02196,24630.0
02197,22090.0
02198,22250.0
02199,20320.0
02200,18010.0
02201,22880.0
02203,19240.0
02205,19860.0
02207,21910.0
02208,23370.0
02209,19770.0
02210,21850.0
02211,21490.0
02212,20690.0
02213,22270.0
02215,21680.0
02216,22500.0
02217,20660.0
02218,19950.0
02219,19350.0
02220,21100.0
02221,23590.0
02223,21430.0
02224,19620.0
02226,21510.0
02227,21940.0
02228,21010.0
02230,22710.0
02231,19400.0
02232,23050.0
02233,19380.0
02235,20650.0
02236,20250.0
02237,19200.0
02238,19400.0
02239,20320.0
02240,21060.0
02242,23120.0
02243,19950.0
02245,20650.0
02246,20930.0
02248,18310.0
02249,21730.0
02253,23840.0
02254,22880.0
02255,20560.0
02256,18280.0
02257,25580.0
02258,21550.0
02259,25060.0
02260,17790.0
02261,20340.0
02262,22740.0
02263,20190.0
02264,18130.0
02267,21180.0
02268,22150.0
02269,20620.0
02270,19490.0
02271,19560.0
02273,22080.0
02274,20250.0
02275,16260.0
02276,22770.0
02277,19950.0
02279,24030.0
02280,22300.0
02281,21600.0
02282,20960.0
02283,19810.0
02286,19830.0
02287,24270.0
02288,19610.0
02289,22730.0
02290,22870.0
02291,19930.0
02292,21040.0
02293,19580.0
02294,25070.0
02295,17690.0
02296,21900.0
02297,21720.0
02298,19240.0
02299,21160.0
02302,22900.0
02303,29650.0
02304,15490.0
02305,18160.0
02306,18700.0
02307,22030.0
02308,19000.0
02309,20280.0
02310,21690.0
02311,20730.0
02312,19500.0
02313,20450.0
02315,20330.0
02316,26810.0
02317,25280.0
02318,19140.0
02319,18630.0
02320,25330.0
02321,21180.0
02322,23550.0
02323,21510.0
02324,19190.0
02326,22420.0
02327,19010.0
02328,23840.0
02329,22660.0
02330,24620.0
02331,18640.0
02332,20800.0
02333,18290.0
02334,17980.0
02335,21930.0
02336,22210.0
02337,20620.0
02338,19060.0
02339,21230.0
02340,19710.0
02341,22320.0
02342,21320.0
02346,20380.0
02347,24100.0
02350,20400.0
02351,22080.0
02352,19310.0
02353,19510.0
02355,22750.0
02356,20650.0
02358,18570.0
02359,21220.0
02360,21900.0
02361,16440.0
02362,22730.0
02363,19360.0
02364,23990.0
02366,18000.0
02367,19700.0
02368,22020.0
02369,18750.0
02370,20060.0
02371,21030.0
02372,21540.0
02373,21980.0
02374,19430.0
02375,24690.0
02376,24020.0
02377,19230.0
02378,18920.0
02379,19860.0
02381,15910.0
02382,23160.0
02383,23850.0
02385,18550.0
02386,20220.0
02387,24080.0
02388,19050.0
02389,20850.0
02390,22460.0
02391,19600.0
02392,23700.0
02393,21180.0
02395,21760.0
02397,19910.0
02398,20190.0
02399,21320.0
02400,21540.0
02401,22430.0
02403,19300.0
02404,20320.0
02405,19410.0
02406,23450.0
02407,23780.0
02408,17440.0
02409,18980.0
02410,24710.0
02411,21800.0
02412,17830.0
02413,21150.0
02414,20940.0
02415,25030.0
02416,19220.0
02417,18180.0
02418,21400.0
02419,23220.0
02420,23640.0
02422,18980.0
02423,21650.0
02424,23280.0
02425,18170.0
02426,21220.0
02427,19160.0
02429,22670.0
02430,19540.0
02431,20790.0
02432,21020.0
02433,20470.0
02438,24460.0
02439,20870.0
02440,20410.0
02441,24470.0
02443,26820.0
