CODGEO,nb_panier_elargi,nb_A1,nb_A2,nb_A4,nb_A5,nb_B1,nb_B2,nb_B3,nb_C2,nb_C6,nb_D1,nb_D3,nb_D4,nb_D5,nb_D6,nb_E1,nb_F1,nb_F3
30207,27,1,1,16,2,0,0,1,0,0,0,0,0,2,0,0,4,0
30208,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30209,95,1,1,42,29,0,6,3,0,0,0,1,0,3,0,0,8,1
30210,142,2,3,52,29,2,10,19,1,0,1,3,2,4,1,0,12,1
30211,97,2,1,46,22,1,5,4,0,0,0,1,1,5,0,0,8,1
30212,127,2,4,33,34,3,16,12,1,0,1,3,1,4,5,0,6,2
30213,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30214,62,2,1,32,15,0,2,1,0,0,0,0,0,2,0,0,6,1
30215,9,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1
30216,14,1,1,7,1,0,1,0,0,0,0,1,0,1,0,0,1,0
30217,180,1,2,89,40,1,7,11,1,0,1,2,1,6,1,0,16,1
30218,8,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
30219,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0
30220,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30221,159,3,3,73,25,2,10,11,1,0,1,3,3,9,1,0,13,1
30222,7,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
30223,90,1,1,45,20,0,5,4,0,0,0,1,2,2,1,0,7,1
30224,15,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0
30225,35,1,0,17,7,0,2,1,0,0,0,0,0,1,0,0,6,0
30226,34,1,0,14,9,0,1,4,0,0,0,0,0,1,0,0,3,1
30227,158,2,3,31,40,4,17,33,2,0,1,2,2,5,1,0,14,1
30228,43,2,1,27,5,0,2,2,0,0,0,0,0,2,0,0,2,0
30229,26,2,1,9,7,0,3,1,0,0,0,0,0,0,0,0,2,1
30230,15,1,0,5,5,0,1,1,0,0,0,0,0,0,0,0,1,1
30231,21,2,1,7,3,0,2,0,0,0,0,1,0,0,0,0,4,1
